Date,GiaoDichThanhCong,KhongNhanDuocXacThucOTP,HeThongNganHangDangCoLoi,KhongTimThayThongTinThe,TheChuaBatEcom,SaiOTP,SaiThongTinKhachHang,TaiKhoanNganHangBiKhoa,HeThongDangCoLoi,TheKhongHoTro,OTPHetHan,TheDaLienKet
1-thg 4,205,42,94,42,54,9,  -   ,5,14,6,1,  -   
2-thg 4,168,37,40,31,22,7,  -   ,2,9,1,  -   ,  -   
3-thg 4,186,59,48,34,30,15,  -   ,7,6,  -   ,  -   ,  -   
4-thg 4,184,41,55,54,34,15,  -   ,2,7,3,2,  -   
5-thg 4,205,40,39,50,37,13,  -   ,5,11,  -   ,2,5
6-thg 4,199,94,64,41,45,21,  -   ,1,19,2,3,  -   
7-thg 4,229,48,42,53,34,12,  -   ,2,11,1,3,7
8-thg 4,202,53,40,63,24,13,  -   ,5,21,1,1,  -   
9-thg 4,189,64,52,34,22,26,  -   ,2,9,2,3,2
10-thg 4,333,72,80,73,60,30,  -   ,2,12,1,5,4
11-thg 4,286,96,102,55,44,15,  -   ,7,11,1,4,  -   
12-thg 4,275,65,48,65,42,14,9,5,6,6,3,5
13-thg 4,292,54,62,83,30,14,14,5,  -   ,  -   ,2,5
14-thg 4,370,59,63,72,61,20,15,1,  -   ,5,7,1
15-thg 4,246,45,46,30,45,23,10,10,  -   ,1,3,3
16-thg 4,212,42,76,55,27,10,6,4,  -   ,2,  -   ,  -   
17-thg 4,221,51,68,41,31,13,22,6,  -   ,3,1,1
18-thg 4,260,48,86,70,42,24,7,2,  -   ,5,2,2
19-thg 4,310,79,47,49,40,15,14,5,  -   ,5,2,4
20-thg 4,256,60,59,45,29,25,  -   ,6,  -   ,1,2,3
21-thg 4,256,52,72,43,32,13,12,2,  -   ,  -   ,1,7
22-thg 4,247,46,89,47,40,5,2,5,  -   ,1,1,1
23-thg 4,193,47,69,44,20,9,16,10,  -   ,  -   ,2,  -   
24-thg 4,232,46,53,54,36,14,21,3,  -   ,2,2,1
25-thg 4,245,53,60,44,39,13,6,5,  -   ,3,  -   ,  -   
26-thg 4,246,54,63,45,27,18,6,6,  -   ,  -   ,2,3
27-thg 4,176,50,29,48,19,9,6,3,  -   ,2,1,3
28-thg 4,218,56,59,61,44,19,8,10,  -   ,4,5,  -   
29-thg 4,202,53,62,24,36,15,26,5,  -   ,2,3,3
30-thg 4,177,42,36,22,31,9,5,7,  -   ,3,  -   ,  -   
1-thg 5,216,43,39,34,24,20,7,7,  -   ,  -   ,1,  -   
2-thg 5,228,42,82,36,21,17,13,10,  -   ,6,1,1
3-thg 5,228,74,40,35,30,8,10,4,  -   ,2,1,3
4-thg 5,229,69,57,28,24,15,2,2,  -   ,1,6,1
5-thg 5,220,60,59,29,27,15,1,14,  -   ,3,2,2
6-thg 5,217,62,56,30,22,17,4,1,  -   ,  -   ,1,2
7-thg 5,239,49,38,36,29,16,21,8,  -   ,1,1,  -   
8-thg 5,301,91,41,26,85,21,14,2,  -   ,1,6,5
9-thg 5,294,75,47,27,61,18,45,14,  -   ,1,1,  -   
10-thg 5,297,70,61,43,51,17,22,1,  -   ,1,2,2
11-thg 5,253,81,29,17,39,24,25,14,  -   ,1,1,  -   
12-thg 5,265,63,30,43,39,17,27,10,  -   ,2,2,  -   
13-thg 5,253,75,40,22,75,23,59,4,  -   ,5,2,1
14-thg 5,179,34,34,18,32,9,24,13,  -   ,  -   ,1,  -   
15-thg 5,225,48,25,27,46,12,36,  -   ,  -   ,1,2,6
16-thg 5,333,70,41,39,33,12,12,4,  -   ,2,2,3
17-thg 5,281,88,18,24,29,14,4,3,  -   ,  -   ,2,  -   
18-thg 5,244,40,26,28,32,8,19,4,  -   ,  -   ,2,  -   
19-thg 5,243,67,25,24,44,15,21,2,  -   ,7,1,6
20-thg 5,203,62,34,16,26,18,18,2,  -   ,1,4,  -   
21-thg 5,157,36,37,23,18,7,10,4,  -   ,3,1,  -   
22-thg 5,251,63,34,27,27,12,10,4,  -   ,4,3,  -   
23-thg 5,229,57,24,36,29,13,25,5,  -   ,1,1,1
24-thg 5,214,63,16,36,36,11,17,9,  -   ,10,3,7
25-thg 5,232,61,27,29,36,7,24,10,  -   ,4,2,  -   
26-thg 5,209,57,50,25,34,15,23,9,  -   ,  -   ,3,  -   
27-thg 5,215,62,20,33,32,12,12,6,  -   ,  -   ,1,  -   
28-thg 5,200,59,21,23,25,16,36,6,  -   ,8,2,  -   
29-thg 5,264,45,40,19,30,19,26,8,  -   ,2,5,  -   
30-thg 5,317,89,74,53,42,13,28,7,  -   ,4,5,  -   
