,,,Grand Total,Jan,,Feb,,Mar,,Apr,,May,
Error Code,Error Message,Filter,,Android,iOS,Android,iOS,Android,iOS,Android,iOS,Android,iOS
Total Tnx.,,,34.392,3.895,1.339,2.238,1.534,2.095,1.323,2.143,1.408,1.916,1.221
Success Tnx.,,,12.381,1.597,388,985,337,1.006,278,1.050,310,958,281
SR_Request,,,"36,0%","41,0%","29,0%","44,0%","22,0%","48,0%","21,0%","49,0%","22,0%","50,0%","23,0%"
-5092,Sai thông tin Chứng minh thư đăng ký với ngân hàng,Total Tnx.,7.373,1.116,458,288,556,189,461,188,469,138,385
,,% of Total,33%,48%,48%,23%,47%,17%,44%,17%,43%,15%,41%
,,% DWMoDWM,,,,-74%,21%,-34%,-17%,-1%,2%,-27%,-18%
-5091,Sai thông tin số điện thoại đăng ký với ngân hàng,Total Tnx.,3.574,345,132,224,136,221,147,222,152,198,127
,,% of Total,16%,15%,14%,18%,11%,20%,14%,20%,14%,21%,14%
,,% DWMoDWM,,,,-35%,3%,-1%,8%,0%,3%,-11%,-16%
64,Lỗi không xác định tại hệ thống ngân hàng.,Total Tnx.,3.432,63,31,286,199,213,175,249,208,220,235
,,% of Total,16%,3%,3%,23%,17%,19%,17%,23%,19%,23%,25%
,,% DWMoDWM,,,,354%,542%,-26%,-12%,17%,19%,-12%,13%
-5079,Tên chủ thẻ/Tài khoản không đúng. Vui lòng thực hiện lại.,Total Tnx.,1.850,249,111,94,61,99,76,96,94,109,48
,,% of Total,8%,11%,12%,8%,5%,9%,7%,9%,9%,11%,5%
,,% DWMoDWM,,,,-62%,-45%,5%,25%,-3%,24%,14%,-49%
-5040,Thẻ/Tài khoản đang được liên kết. Vui lòng liên hệ bộ phận chăm sóc khách hàng để được hỗ trợ.,Total Tnx.,1.277,147,36,84,30,108,40,93,46,79,35
,,% of Total,6%,6%,4%,7%,3%,10%,4%,9%,4%,8%,4%
,,% DWMoDWM,,,,-43%,-17%,29%,33%,-14%,15%,-15%,-24%
-5083,"Số thẻ/Tài khoản không đúng, vui lòng nhập lại.",Total Tnx.,1.208,,,,,,,,,48,19
,,% of Total,5%,,,,,,,,,5%,2%
,,% DWMoDWM,,,,,,,,,,,
-5019,Thẻ hoặc tài khoản ngân hàng của khách hàng không hợp lệ.,Total Tnx.,1.189,248,117,114,130,136,96,171,82,70,25
,,% of Total,5%,11%,12%,9%,11%,12%,9%,16%,7%,7%,3%
,,% DWMoDWM,,,,-54%,11%,19%,-26%,26%,-15%,-59%,-70%
-10335,Giao dịch bị hủy bởi người dùng.,Total Tnx.,560,,,,,9,10,32,31,27,32
,,% of Total,3%,,,,,1%,1%,3%,3%,3%,3%
,,% DWMoDWM,,,,,,,,256%,210%,-16%,3%
-5002,"Ngân hàng có lỗi, vui lòng thử lại sau.",Total Tnx.,495,,,,,,,,,14,4
,,% of Total,2%,,,,,,,,,1%,0%
,,% DWMoDWM,,,,,,,,,,,
-3055,Hệ thống không nhận được yêu cầu xác thực giao dịch (OTP) trong vòng 15 phút.,Total Tnx.,487,85,39,110,48,65,21,13,3,17,3
,,% of Total,2%,4%,4%,9%,4%,6%,2%,1%,0%,2%,0%
,,% DWMoDWM,,,,29%,23%,-41%,-56%,-80%,-86%,31%,0%
-5050,OTP không đúng. Vui lòng nhập lại.,Total Tnx.,415,41,17,34,23,26,12,20,12,19,22
,,% of Total,2%,2%,2%,3%,2%,2%,1%,2%,1%,2%,2%
,,% DWMoDWM,,,,-17%,35%,-24%,-48%,-23%,0%,-5%,83%
